DC_size	@Bus2	@Bus18	@Bus25	@Bus36	@Bus2	@Bus18	@Bus25	@Bus36	@Bus2	@Bus18	@Bus25	@Bus36	@Bus2	@Bus18	@Bus25	@Bus36
0	44.94527	44.94527	44.94527	44.94527	45.07242	45.07242	45.07242	45.07242	50.212	50.212	50.212	50.212	57.19864	57.19864	57.19864	57.19864
50	45.59171	45.71993	44.48914	44.45387	45.70162	45.8235	44.57674	44.55423	50.4747	50.45324	48.83681	49.10335	57.19997	57.06877	55.15961	55.64722
100	46.37687	46.62645	44.3442	44.17743	46.4688	46.70558	44.39119	44.25027	50.86272	50.81071	47.75362	48.19768	57.32155	57.04902	53.40446	54.29557
150	47.30533	47.67	44.51752	44.1192	47.37839	47.72366	44.52271	44.16367	51.37849	51.28717	46.96674	47.49575	57.56484	57.14104	51.93616	53.14311
200	48.38235	48.85652	45.01712	44.28337	48.43551	48.88353	44.97912	44.29846	52.02483	51.88579	46.48102	46.99891	57.93157	57.34676	50.75809	52.18981
250	49.61402	50.19286	45.85213	44.6752	49.64609	50.19186	45.76936	44.6597	52.80499	52.6102	46.30194	46.7092	58.42378	57.66845	49.87409	51.43618
300	51.00745	51.68698	47.03298	45.30111	51.01704	51.65639	46.90359	45.25361	53.72271	53.46457	46.43565	46.62933	59.04383	58.10873	49.28848	50.88329
350	52.57093	53.34818	48.57166	46.16893	52.5564	53.28612	48.39352	46.08777	54.7823	54.45367	46.88907	46.76282	59.79447	58.6706	49.00612	50.5328
400	54.31422	55.18739	50.48206	47.28817	54.27363	55.09165	50.25263	47.17136	55.98871	55.58298	47.67003	47.11401	60.67887	59.35751	49.03246	50.387
450	56.24889	57.21758	52.78036	48.67029	56.17993	57.08552	52.49667	48.51546	57.34765	56.85879	48.78737	47.68821	61.70065	60.17342	49.37362	50.44884
500	58.38885	59.4543	55.48569	50.32925	58.28871	59.28271	55.14415	50.13355	58.86572	58.2884	50.25113	48.49183	62.86396	61.12284	50.03648	50.72203
