BUS	ZERO	amount	LOW	MEDIUM	HIGH	Sum
1	4	2.25E+002	4	3	0	2.75
2	5	1.85E+002	4	3	1	3.25
3	5	1.88E+002	4	3	1	3.25
4	5	1.90E+002	5	3	1	3.5
5	5	1.69E+002	5	2	0	3
6	4	2.02E+002	4	2	0	2.5
7	4	2.05E+002	4	2	0	2.5
8	4	2.06E+002	4	2	0	2.5
9	4	2.15E+002	4	2	0	2.5
10	4	1.94E+002	4	2	0	2.5
11	4	1.98E+002	4	2	0	2.5
12	4	2.08E+002	4	2	0	2.5
13	4	2.17E+002	4	3	0	2.75
14	4	2.39E+002	4	4	1	3.25
15	4	2.38E+002	4	4	1	3.25
16	4	2.37E+002	4	4	1	3.25
17	4	2.36E+002	4	3	1	3
18	5	1.88E+002	4	3	1	3.25
19	4	2.36E+002	4	4	1	3.25
20	4	2.36E+002	4	4	1	3.25
21	4	2.36E+002	4	4	1	3.25
22	4	2.35E+002	4	3	1	3
23	4	2.36E+002	4	3	1	3
24	4	2.37E+002	4	4	1	3.25
25	5	1.85E+002	4	3	1	3.25
26	4	2.34E+002	4	3	1	3
27	4	2.35E+002	4	3	1	3
28	4	2.33E+002	4	3	1	3
29	4	2.33E+002	4	3	1	3
30	5	1.85E+002	4	3	1	3.25
31	4	1.64E+002	4	1	0	2.25
32	4	1.94E+002	4	2	0	2.5
33	4	2.35E+002	4	3	1	3
34	4	2.35E+002	4	3	1	3
35	4	2.35E+002	4	3	1	3
36	4	2.35E+002	4	3	1	3
37	4	2.31E+002	4	3	1	3
38	4	2.32E+002	4	3	1	3
39	4	2.20E+002	4	2	0	2.5
