BUS	ZERO	LOW	MEDIUM	HIGH
1	47.20471	47.30636	51.92428	58.56202
2	46.37687	46.4688	50.86272	57.32155
3	46.79745	46.88793	51.25322	57.69594
4	46.60847	46.71265	51.38646	58.06781
5	45.61302	45.73048	50.68896	57.57342
6	45.2156	45.33668	50.37185	57.30959
7	46.00371	46.12106	51.08183	57.97327
8	46.27524	46.3908	51.31429	58.18046
9	46.9297	47.03677	51.77663	58.50874
10	44.77586	44.89017	49.77191	56.59006
11	44.94956	45.06605	49.99748	56.85476
12	45.14532	45.25897	50.12909	56.94234
13	45.1445	45.25581	50.07338	56.84616
14	45.99636	46.09979	50.74903	57.40277
15	46.45071	46.53687	50.80107	57.16252
16	46.03735	46.11608	50.208	56.43136
17	46.27901	46.35452	50.37518	56.54538
18	46.62645	46.70558	50.81071	57.04902
19	44.89445	44.97385	49.07621	55.30172
20	45.28645	45.36563	49.46375	55.68693
21	45.54628	45.62352	49.678	55.86773
22	44.6172	44.69317	48.71429	54.87278
23	44.66303	44.73772	48.72963	54.86514
24	46.0485	46.12663	50.20491	56.41738
25	44.3442	44.39119	47.75362	53.40446
26	45.3123	45.36196	48.78546	54.48138
27	46.15403	46.21601	49.92742	55.85603
28	44.55498	44.58591	47.57136	52.91022
29	43.70873	43.73944	46.71645	52.04443
30	46.38259	46.4746	50.86987	57.32897
31	44.94527	45.07242	50.212	57.19864
32	44.72121	44.8362	49.72923	56.55157
33	44.04073	44.12056	48.23104	54.46096
34	44.43342	44.51302	48.61967	54.84817
35	44.60827	44.6842	48.70396	54.86063
36	44.17743	44.25027	48.19768	54.29557
37	43.74771	43.79172	47.08162	52.67016
38	42.50632	42.53446	45.44924	50.72446
39	47.17178	47.27607	51.95382	58.63834
