DC_size	@bus2	@bus18	@bus25	@bus36	@bus2	@bus18	@bus25	@bus36	@bus2	@bus18	@bus25	@bus36	@bus2	@bus18	@bus25	@bus36
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
300	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
350	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
400	2	2	2	3	2	2	2	3	0	0	0	0	0	0	0	0
450	2	3	2	4	2	3	2	4	0	0	0	0	0	0	0	0
500	3	4	3	4	3	4	3	4	1	1	1	1	0	0	0	0
